junk	[dʒʌŋk] n.破烂货，废品	17
さあっと	さあっと 物体快速轻松运动时的声音和状态	17
动词连体形现在时＋ところだ	正在怎么样	16
だけに	正因为	17
かっかと	かっかと 身体发热	17
にすぎない	只不过是	16
さぞ…でしょう	“想必”	16
unreasoning	[ ʌn'ri:zәniŋ] a.不凭理智的	17
必死	ひっし 拼命	17
advent	['ædvәnt] n.出现，到来，来临	14
木下	きのした 木下（姓）	16
ござる	是です的尊敬说法	15
一遍に	いっぺんに 一下子	17
鉄棒	てつぼう 单杠，铁棒	15
red	[red] a. 红色的	16
ことになる	说明结果，“就怎么怎么样了”	15
tea	[ti:] n.茶	15
よりしかたがない	表示“除了……以外”，没有其他方法	15
絞り出す	しぼりだす 拧出，挤出	17
として	作为	15
大西	おおにし 大西（姓）	15
boundary	['baundәri] n.界线；边界	15
平川	ひらかわ 平川（姓）	17
活用	かつよう 实际应用	17
棒	ぼう 棍子，棒子	16
校庭	こうてい 校园，操场	16
shout	[ʃaut] v.喊叫	16
以上	既然	16
一気に	いっきに 一口气	16
委員会	いいんかい 委员会	15
火照る	ほてる （脸或身体）发热	17
座り込む	すわりこむ 坐着不动，坐着不走	15
記録	きろく 记录	16
boredom	[ 'bɔ:dәm] n.厌烦	17
付け加える	つけくわえる 添加，附加	17
風景	ふうけい 景致，风景	16
coral	['kɔrәl] n.珊瑚	17
事柄	ことがら 事情，事态	17
たびに	每怎么样就会怎么样	17
ずきんずきん	跳痛[疼]，一跳一跳地痛	15
动词现在时＋ところだ	刚要怎么样	16
mimic warfare 	n.模拟战争 mimic  [ˈmimik] vt.摹拟  warfare  [ˈwɔ:feə] n.战争(状态)；	15
なんて	“什么的，之类的”	15
にかけて	在某方面	15
……によって	根据什么什么，通过什么什么	17
ばかりでなく	不光……而且……	16
励み	はげみ 勤奋，努力	17
spark	[spɑ:k] n.电火花	15
お（ご）……です	お帰りですか，ご出勤ですか。无时态变化	16
もちろん	当然，不用说	16
ませ	用于商业，服务行业或妇女的谈话	16
air hostess 	空中小姐 hostess  [ˈhəustis] n.女主人	15
案	あん 想法，意见	15
強める	つよめる 加强，增强	17
と言ってもいい	可以说（有商榷余地）	15
一歩	いっぽ 一步	15
目に入る	めにはいる 看见	17
からなる（からなっている）	“由……组成”“由……构成”	15
balloon	[bə'lu:n] n.气球	15
……（の）ではないでしょうか	“是不是……？”	16
uncomfortable	[ʌn'kʌmftəbəl] a.不舒服的	15
seismometer	[ saiz'mɔmitә] n.地震仪	17
間を置く	まをおく 留出时间，留出间隔	17
ようになっている	表示某事物处于某种状态	15
息を弾む	いきをはずむ 呼吸急促	17
途切れ途切れ	とぎれとぎれ 时断时续	15
川村	かわむら 川村（姓）	16
敬语助词れる、られる	學校に來られます，出席されません。	16
飛び去る	とびさる 飞走	15
登り棒	のぼりぼう 爬杆	15
こそ	“惟有”	15
中休み	なかやすみ 中途休息	17
いらっしゃる	です、である或…ている的尊敬语	16
小山	こやま 小山（姓）	15
食いしばる	くいしばる 咬紧牙关，拼命忍耐	17
副助词「まで」	表示极端的例子，类似于“连……都……”	16
のに	表示目的	16
金额＋する	花多少钱	15
ashore	[ ә'ʃɔ:] ad.在岸上，上岸	16
insularity	[ 'insju'læriti] n.心胸狭窄	17
結ぶ	むすぶ 系，结	15
control	[kən'trəul] n.控制	15
pedal	['pedəl] n.踏板	16
縺れる	もつれる 不听使唤	17
叫ぶ	さけぶ 呼喊	17
両方	りょうほう 双方	15
だけでなく	“不仅……”	17
と言える	可以说（比较直接）	16
紙切れ	かみきれ 纸片，破纸	17
をはじめ	“以……为首的”	15
大空	おおぞら 天空	17
不得意	ふとくい 不颤长	14
ばかりだ	“一直……”“一味地”	17
だけに	正因为	17
かっかと	かっかと 身体发热	17
べき	“值得”	17
unreasoning	[ ʌn'ri:zәniŋ] a.不凭理智的	17
dialysis	[ dai'ælisis] n.分离，分解；透析，渗析	17
いり乱れる	いりみだれる 错杂，混杂	17
精一杯	せいいっぱい 竭尽全力	17
活用	かつよう 实际应用	17
貯える	たくわえる 积蓄	17
boredom	[ 'bɔ:dәm] n.厌烦	17
響く	ひびく 震响，波及	17
平気	へいき 不在乎，若无其事	17
付け加える	つけくわえる 添加，附加	17
励み	はげみ 勤奋，努力	17
順序	じゅんじょ 次序，过程	17
息を弾む	いきをはずむ 呼吸急促	17
食いしばる	くいしばる 咬紧牙关，拼命忍耐	17
利く	きく 经得住，奏效，起作用，好使	17
instalment	[in'stɔ:lmənt] n.分期付款	17
谷口	たにぐち 谷口（姓）	17
一息	ひといき 稍加把劲儿，一口气	17
一週	いっしゅう 绕一周	17
